url,issue_type,current_status,clicks,impressions,old_or_new,action,target_url,reason,priority
https://www.ewastekochi.com/blog/battery-recycling-options-in-kochi-which-to-choose-kochi/,Not found (404),404,0,30,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blog/laptop-scrap-price-kochi-2026/,Not found (404),404,0,33,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/recycling/zero-landfill-electronics-recycling-in-thiruvananthapuram-what-it-really-means/,Not found (404),308,0,5,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/recycling/zero-landfill-electronics-recycling-in-thiruvananthapuram-what-it-really-means/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/recycling/zero-landfill-electronics-recycling-in-thiruvananthapuram-what-it-really-means/,Not found (404),404,0,21,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-kottayam-what-changes-the-price-fast/,Not found (404),308,1,5,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-kottayam-what-changes-the-price-fast/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/government-rules/e-waste-rules-2022-for-businesses-in-kozhikode/,Not found (404),308,0,2,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/government-rules/e-waste-rules-2022-for-businesses-in-kozhikode/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/government-rules/e-waste-rules-2022-for-businesses-in-kozhikode/,Not found (404),404,0,8,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blog/ewaste-laws-kerala.html,Not found (404),308,0,46,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blog/ewaste-laws-kerala.html,Now redirects under V2.,P3
https://ewastekochi.com/blogs/data-destruction/server-drive-sanitization-in-kottayam-for-itad-projects/,Not found (404),308,0,2,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/data-destruction/server-drive-sanitization-in-kottayam-for-itad-projects/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/disposal/how-to-dispose-mixed-household-e-waste-in-kollam/,Not found (404),404,0,8,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/scrap-electronics/office-clearance-scrap-quotes-in-kollam-how-to-prepare-the-inventory/,Not found (404),404,0,0,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/disposal/,Not found (404),308,2,42,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blog/,Now redirects under V2.,P3
https://www.ewastekochi.com/blog/e-waste-laws-in-north-paravur-complete-guide-north-paravur-4-4/,Not found (404),404,0,1,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/recycling/pickup-vs-drop-off-recycling-in-kozhikode-which-option-fits-better/,Not found (404),404,0,3,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/environmental-impact/toxic-components-in-electronics-collected-in-kakkanad-kochi/,Not found (404),404,0,13,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/laptop-disposal/,Not found (404),308,0,10,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/mobile-recycling/same-day-mobile-pickup-in-vyttila-kochi-for-shops-and-offices/,Not found (404),308,0,3,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/mobile-recycling/same-day-mobile-pickup-in-vyttila-kochi-for-shops-and-offices/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-infopark-kochi-what-changes-the-price-fast/,Not found (404),308,0,3,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-infopark-kochi-what-changes-the-price-fast/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/government-rules/dpdp-act-and-retired-devices-in-vyttila-kochi-what-changes-for-disposal/,Not found (404),404,0,3,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/government-rules/how-to-verify-a-kspcb-authorized-recycler-in-infopark-kochi/,Not found (404),404,0,6,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/recycling/computer-recycling-in-vyttila-kochi-for-homes-and-offices/,Not found (404),308,0,7,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/recycling/computer-recycling-in-vyttila-kochi-for-homes-and-offices/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/disposal/how-to-dispose-office-computers-in-kakkanad-kochi-safely/,Not found (404),308,0,7,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/disposal/how-to-dispose-office-computers-in-kakkanad-kochi-safely/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/disposal/how-to-dispose-office-computers-in-kakkanad-kochi-safely/,Not found (404),404,0,11,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/laptop-disposal/,Not found (404),404,0,8,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/hi/services/computer-recycling/,Not found (404),308,0,6,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/hi/services/computer-recycling/,Now redirects under V2.,P3
https://www.ewastekochi.com/hi/services/computer-recycling/,Not found (404),404,0,19,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram/,Not found (404),404,0,11,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/recycling/laptop-recycling-in-kollam-reuse-buyback-or-scrap/,Not found (404),404,0,5,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/recycling/how-to-run-an-office-electronics-recycling-drive-in-thrippunithura-kochi/,Not found (404),308,0,2,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/recycling/how-to-run-an-office-electronics-recycling-drive-in-thrippunithura-kochi/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/battery-recycling/ups-and-inverter-battery-disposal-in-thiruvananthapuram/,Not found (404),404,0,7,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/index-old/,Not found (404),404,0,22,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/laptop-disposal/employee-laptop-returns-and-disposal-workflow-in-kakkanad-kochi/,Not found (404),308,0,3,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/employee-laptop-returns-and-disposal-workflow-in-kakkanad-kochi/,Now redirects under V2.,P3
https://ewastekochi.com/hi/services/mobile-recycling-kochi/,Not found (404),308,0,18,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/hi/services/mobile-recycling-kochi/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast/,Not found (404),308,0,9,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast/,Now redirects under V2.,P3
https://ewastekochi.com/blog/itad-roi-kochi-enterprise/,Not found (404),308,0,16,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blog/itad-roi-kochi-enterprise/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/,Not found (404),308,1,24,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blog/,Now redirects under V2.,P3
https://www.ewastekochi.com/blog/laptop-resale-value-2026/,Not found (404),404,0,25,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/scrap-electronics/office-clearance-scrap-quotes-in-kollam-how-to-prepare-the-inventory/,Not found (404),308,0,2,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/scrap-electronics/office-clearance-scrap-quotes-in-kollam-how-to-prepare-the-inventory/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/recycling/computer-recycling-in-vyttila-kochi-for-homes-and-offices/,Not found (404),404,0,11,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/data-destruction/server-drive-sanitization-in-kottayam-for-itad-projects/,Not found (404),404,0,0,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/battery-recycling/ups-and-inverter-battery-disposal-in-kakkanad-kochi/,Not found (404),308,0,6,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/battery-recycling/ups-and-inverter-battery-disposal-in-kakkanad-kochi/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/disposal/where-to-dispose-old-laptops-in-kollam-free-pickup-guide/,Not found (404),308,0,20,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/disposal/where-to-dispose-old-laptops-in-kollam-free-pickup-guide/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/laptop-disposal/business-laptop-buyback-in-infopark-kochi-what-it-teams-should-expect/,Not found (404),308,0,6,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/laptop-disposal/business-laptop-buyback-in-infopark-kochi-what-it-teams-should-expect/,Now redirects under V2.,P3
https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-kottayam-what-changes-the-price-fast/,Not found (404),404,0,0,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/recycling/laptop-recycling-in-kollam-reuse-buyback-or-scrap/,Not found (404),308,1,6,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/recycling/laptop-recycling-in-kollam-reuse-buyback-or-scrap/,Now redirects under V2.,P3
https://www.ewastekochi.com/blog/best-way-to-e-waste-collection-in-ernakulam-2026-ernakulam/,Not found (404),404,1,10,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/laptop-recycling-near-me/,Not found (404),404,0,3,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blog/best-time-for-phone-buyback-in-kochi-kochi/,Not found (404),404,0,0,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam/,Not found (404),308,0,5,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/mobile-recycling/corporate-mobile-fleet-disposal-in-kollam/,Not found (404),308,0,0,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/mobile-recycling/corporate-mobile-fleet-disposal-in-kollam/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/environmental-impact/what-happens-when-electronics-reach-landfills-in-kozhikode/,Not found (404),308,0,3,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/environmental-impact/what-happens-when-electronics-reach-landfills-in-kozhikode/,Now redirects under V2.,P3
